product_id,product_name,category,sub_category,brand,unit_price,stock_qty
1,iPhone 15,Électronique,Smartphones,TechZone,360.76,230
2,Samsung S24,Électronique,Smartphones,TechZone,319.06,224
3,Pixel 8,Électronique,Smartphones,TechZone,1039.02,397
4,Xiaomi 14,Électronique,Smartphones,FashionHub,975.21,415
5,OnePlus 12,Électronique,Smartphones,HomeStyle,886.45,440
6,MacBook Air,Électronique,Laptops,SportPro,854.35,84
7,Dell XPS,Électronique,Laptops,FashionHub,741.3,416
8,HP Spectre,Électronique,Laptops,TechZone,252.3,291
9,Lenovo ThinkPad,Électronique,Laptops,HomeStyle,424.22,305
10,Asus ZenBook,Électronique,Laptops,HomeStyle,648.83,360
11,iPad Pro,Électronique,Tablettes,EcoShop,354.7,136
12,Samsung Tab,Électronique,Tablettes,EcoShop,1143.11,460
13,Surface Pro,Électronique,Tablettes,TechZone,816.76,69
14,Lenovo Tab,Électronique,Tablettes,SportPro,1155.51,470
15,Amazon Fire,Électronique,Tablettes,HomeStyle,75.85,443
16,Sony WH-1000XM5,Électronique,Casques,FashionHub,788.8,127
17,AirPods Pro,Électronique,Casques,HomeStyle,179.76,424
18,Bose QC45,Électronique,Casques,SportPro,300.83,250
19,Jabra Elite,Électronique,Casques,HomeStyle,174.9,321
20,Sennheiser HD,Électronique,Casques,SportPro,500.0,38
21,Chargeur USB-C,Électronique,Accessoires,TechZone,762.19,206
22,Coque iPhone,Électronique,Accessoires,HomeStyle,621.16,355
23,Câble HDMI,Électronique,Accessoires,HomeStyle,1123.92,232
24,Souris sans fil,Électronique,Accessoires,HomeStyle,1140.55,297
25,Clavier mécanique,Électronique,Accessoires,TechZone,7.96,374
26,Chemise Oxford,Mode,Vêtements Homme,HomeStyle,1166.72,435
27,Jean Slim,Mode,Vêtements Homme,EcoShop,80.68,203
28,Pull Cachemire,Mode,Vêtements Homme,SportPro,265.31,422
29,Veste Blazer,Mode,Vêtements Homme,HomeStyle,258.16,165
30,T-shirt Coton,Mode,Vêtements Homme,HomeStyle,994.87,280
31,Robe Florale,Mode,Vêtements Femme,EcoShop,695.63,436
32,Blouse Soie,Mode,Vêtements Femme,HomeStyle,584.98,457
33,Jean Boyfriend,Mode,Vêtements Femme,TechZone,820.65,23
34,Manteau Laine,Mode,Vêtements Femme,SportPro,123.99,8
35,Top Modal,Mode,Vêtements Femme,FashionHub,153.46,225
36,Sneakers Nike,Mode,Chaussures,SportPro,550.54,103
37,Mocassins Cuir,Mode,Chaussures,FashionHub,1194.85,451
38,Bottines Femme,Mode,Chaussures,FashionHub,781.75,447
39,Sandales Été,Mode,Chaussures,HomeStyle,1119.61,47
40,Derby Homme,Mode,Chaussures,HomeStyle,787.23,42
41,Sac à Dos,Mode,Sacs,FashionHub,449.35,26
42,Tote Bag,Mode,Sacs,HomeStyle,478.63,371
43,Portefeuille,Mode,Sacs,FashionHub,840.83,219
44,Sac Bandoulière,Mode,Sacs,TechZone,788.3,0
45,Valise Cabine,Mode,Sacs,TechZone,260.04,67
46,Montre Classique,Mode,Montres,EcoShop,714.45,348
47,Smartwatch,Mode,Montres,TechZone,536.85,356
48,Montre Plongée,Mode,Montres,TechZone,415.57,440
49,Bracelet Acier,Mode,Montres,FashionHub,509.67,244
50,Montre Solaire,Mode,Montres,SportPro,89.64,45
51,Vase Céramique,Maison,Décoration,TechZone,878.26,52
